"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Roommate preferences, Proximity to campus, Safety","Somewhat aware","Unlikely","Not open","Mostly meets my needs","Inadequate amenities, Distance from campus, High cost, Safety concerns","Safety ratings, Community events and networking opportunities","Not important at all"
"23-26","Graduate","On-campus housing","$500 - $1000","Safety, Proximity to campus, Amenities","Neutral","Likely","Definitely open","Barely meets my needs","Safety concerns, Distance from campus, Inadequate amenities","Roommate matching service, Price range options","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities, Roommate preferences, Proximity to campus, Safety","Not aware","Unlikely","Maybe open","Does not meet my needs","Safety concerns","Safety ratings, Community events and networking opportunities, Price range options, Roommate matching service, Proximity to campus filter","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Proximity to campus, Roommate preferences","Somewhat aware","Unlikely","Maybe open","Somewhat meets my needs","Inadequate amenities, High cost","Roommate matching service, Community events and networking opportunities, Proximity to campus filter, Price range options","Not important at all"
"23-26","Undergraduate","On-campus housing","$500 - $1000","Roommate preferences","Somewhat aware","Likely","Definitely open","Does not meet my needs","Inadequate amenities, Distance from campus, Safety concerns","Roommate matching service, Community events and networking opportunities","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Proximity to campus","Neutral","Very likely","Definitely open","Mostly meets my needs","Safety concerns","Roommate matching service, Safety ratings, Proximity to campus filter","Somewhat important"
"18-22","Undergraduate","On-campus housing","Less than $500","Amenities, Roommate preferences, Safety, Proximity to campus","Not aware","Very likely","Maybe open","Somewhat meets my needs","Inadequate amenities, Safety concerns, Distance from campus, High cost","Proximity to campus filter","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Proximity to campus, Amenities, Safety, Roommate preferences","Somewhat aware","Neutral","Not open","Somewhat meets my needs","Distance from campus, Safety concerns, High cost","Safety ratings, Roommate matching service, Price range options, Community events and networking opportunities","Not important at all"
"23-26","Graduate","Living with family","Over $1500","Roommate preferences","Somewhat aware","Very likely","Definitely open","Somewhat meets my needs","High cost, Inadequate amenities, Distance from campus, Safety concerns","Proximity to campus filter, Price range options, Roommate matching service, Community events and networking opportunities, Safety ratings","Somewhat important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Amenities, Proximity to campus, Safety, Roommate preferences","Not aware","Very unlikely","Definitely open","Somewhat meets my needs","Inadequate amenities, Safety concerns","Community events and networking opportunities, Price range options, Proximity to campus filter","Very important"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Amenities, Roommate preferences, Safety","Neutral","Likely","Neutral","Barely meets my needs","Distance from campus, Inadequate amenities, High cost","Price range options, Community events and networking opportunities, Roommate matching service, Proximity to campus filter","Very important"
"23-26","Graduate","Living with family","$500 - $1000","Roommate preferences, Safety, Amenities, Proximity to campus","Very aware","Very unlikely","Neutral","Barely meets my needs","Inadequate amenities, High cost","Proximity to campus filter, Price range options, Roommate matching service","Not important at all"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Roommate preferences","Neutral","Likely","Definitely open","Mostly meets my needs","Inadequate amenities","Safety ratings, Proximity to campus filter, Roommate matching service, Community events and networking opportunities","Not important at all"
"23-26","Graduate","On-campus housing","Over $1500","Amenities, Proximity to campus, Safety","Neutral","Very likely","Maybe open","Mostly meets my needs","Distance from campus, Safety concerns","Community events and networking opportunities, Proximity to campus filter","Somewhat important"
"23-26","Undergraduate","Living with family","$1001 - $1500","Proximity to campus, Roommate preferences, Amenities, Safety","Very aware","Very likely","Neutral","Mostly meets my needs","Safety concerns, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus","Somewhat aware","Likely","Maybe open","Mostly meets my needs","Inadequate amenities, Safety concerns, High cost","Price range options, Community events and networking opportunities, Roommate matching service, Safety ratings","Not important at all"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Safety","Somewhat aware","Unlikely","Not open","Does not meet my needs","High cost, Distance from campus","Proximity to campus filter, Roommate matching service","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Proximity to campus, Roommate preferences, Amenities","Not aware","Very unlikely","Maybe open","Barely meets my needs","Inadequate amenities, Distance from campus, High cost","Safety ratings","Not very important"
"18-22","Undergraduate","On-campus housing","Over $1500","Roommate preferences, Amenities","Very aware","Unlikely","Definitely open","Barely meets my needs","Distance from campus, Safety concerns, Inadequate amenities, High cost","Proximity to campus filter, Safety ratings, Roommate matching service, Community events and networking opportunities, Price range options","Not important at all"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Amenities, Roommate preferences","Neutral","Unlikely","Neutral","Barely meets my needs","Inadequate amenities, High cost, Safety concerns, Distance from campus","Proximity to campus filter, Community events and networking opportunities, Safety ratings, Roommate matching service","Somewhat important"
"23-26","Undergraduate","On-campus housing","$500 - $1000","Safety, Proximity to campus, Roommate preferences, Amenities","Somewhat aware","Very likely","Neutral","Does not meet my needs","Safety concerns, High cost","Roommate matching service, Community events and networking opportunities, Proximity to campus filter, Safety ratings, Price range options","Somewhat important"
"23-26","Undergraduate","Living with family","Over $1500","Amenities, Safety, Roommate preferences, Proximity to campus","Very aware","Very likely","Definitely open","Barely meets my needs","High cost","Community events and networking opportunities, Roommate matching service, Proximity to campus filter","Very important"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Safety","Not aware","Very likely","Maybe open","Somewhat meets my needs","Distance from campus","Community events and networking opportunities","Not very important"
"18-22","Undergraduate","Living with family","Less than $500","Amenities, Safety","Neutral","Likely","Maybe open","Barely meets my needs","High cost, Safety concerns, Distance from campus","Price range options, Proximity to campus filter, Safety ratings","Very important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Roommate preferences","Neutral","Very unlikely","Not open","Mostly meets my needs","Inadequate amenities","Roommate matching service, Proximity to campus filter, Price range options","Not very important"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Amenities, Safety, Roommate preferences","Somewhat aware","Neutral","Maybe open","Mostly meets my needs","Distance from campus, Inadequate amenities, High cost, Safety concerns","Safety ratings","Not very important"
"18-22","Undergraduate","On-campus housing","Over $1500","Amenities, Proximity to campus","Very aware","Unlikely","Neutral","Barely meets my needs","High cost","Proximity to campus filter, Safety ratings, Community events and networking opportunities, Roommate matching service, Price range options","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Proximity to campus, Roommate preferences","Somewhat aware","Neutral","Not open","Somewhat meets my needs","Safety concerns, Inadequate amenities, Distance from campus","Proximity to campus filter, Safety ratings, Price range options, Community events and networking opportunities, Roommate matching service","Not very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Safety","Neutral","Very likely","Not open","Does not meet my needs","High cost, Inadequate amenities, Distance from campus, Safety concerns","Safety ratings","Not important at all"
"18-22","Undergraduate","Living with family","Less than $500","Roommate preferences, Safety, Proximity to campus","Neutral","Very unlikely","Maybe open","Barely meets my needs","Safety concerns","Price range options, Roommate matching service","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Roommate preferences, Proximity to campus, Amenities","Somewhat aware","Neutral","Definitely open","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns","Community events and networking opportunities, Price range options, Roommate matching service","Not important at all"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Roommate preferences, Amenities, Proximity to campus","Very aware","Very unlikely","Maybe open","Mostly meets my needs","Safety concerns, Distance from campus","Price range options","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Safety, Roommate preferences, Amenities, Proximity to campus","Neutral","Unlikely","Definitely open","Mostly meets my needs","High cost","Roommate matching service","Not very important"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Amenities","Not aware","Neutral","Neutral","Somewhat meets my needs","Safety concerns, Distance from campus, Inadequate amenities","Community events and networking opportunities, Safety ratings, Roommate matching service","Very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Amenities, Roommate preferences, Safety, Proximity to campus","Neutral","Very unlikely","Neutral","Barely meets my needs","High cost, Distance from campus, Inadequate amenities","Roommate matching service, Price range options, Community events and networking opportunities, Safety ratings","Not very important"
"18-22","Undergraduate","Living with family","Less than $500","Proximity to campus, Safety","Neutral","Unlikely","Not open","Does not meet my needs","High cost, Inadequate amenities","Proximity to campus filter","Somewhat important"
"18-22","Graduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Roommate preferences, Amenities, Safety","Very aware","Likely","Neutral","Mostly meets my needs","Safety concerns, High cost","Safety ratings, Proximity to campus filter, Price range options, Community events and networking opportunities","Not very important"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Safety","Neutral","Very likely","Definitely open","Barely meets my needs","Distance from campus, Inadequate amenities, High cost, Safety concerns","Roommate matching service, Proximity to campus filter, Community events and networking opportunities, Price range options, Safety ratings","Not very important"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Safety, Proximity to campus, Amenities, Roommate preferences","Not aware","Likely","Not open","Somewhat meets my needs","Distance from campus, Inadequate amenities, Safety concerns, High cost","Proximity to campus filter","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Roommate preferences, Safety, Amenities, Proximity to campus","Somewhat aware","Neutral","Definitely open","Does not meet my needs","Safety concerns, Inadequate amenities","Proximity to campus filter, Price range options, Community events and networking opportunities, Roommate matching service, Safety ratings","Not important at all"
"18-22","Graduate","Living with family","$500 - $1000","Safety, Roommate preferences, Amenities, Proximity to campus","Very aware","Very unlikely","Not open","Barely meets my needs","Inadequate amenities, Distance from campus","Proximity to campus filter","Not very important"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Roommate preferences, Safety, Amenities","Somewhat aware","Very unlikely","Definitely open","Barely meets my needs","Inadequate amenities, High cost","Price range options","Not very important"
"18-22","Graduate","Off-campus apartment/house","Over $1500","Safety, Roommate preferences","Neutral","Neutral","Neutral","Barely meets my needs","Distance from campus, High cost","Price range options","Not important at all"
"18-22","Undergraduate","Living with family","$500 - $1000","Amenities, Safety","Not aware","Likely","Not open","Mostly meets my needs","Inadequate amenities, Safety concerns, High cost, Distance from campus","Roommate matching service","Very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities","Very aware","Very likely","Not open","Mostly meets my needs","Distance from campus, Inadequate amenities, Safety concerns, High cost","Proximity to campus filter, Roommate matching service, Community events and networking opportunities","Not important at all"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Amenities, Roommate preferences, Safety","Very aware","Neutral","Definitely open","Mostly meets my needs","Inadequate amenities, Safety concerns, Distance from campus, High cost","Price range options, Roommate matching service, Safety ratings, Community events and networking opportunities, Proximity to campus filter","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Amenities","Very aware","Likely","Neutral","Does not meet my needs","Distance from campus","Community events and networking opportunities, Price range options, Roommate matching service","Not very important"
"23-26","Undergraduate","Living with family","$1001 - $1500","Safety, Roommate preferences","Neutral","Likely","Maybe open","Does not meet my needs","Safety concerns, Distance from campus, Inadequate amenities","Community events and networking opportunities, Proximity to campus filter","Not important at all"
"18-22","Undergraduate","Living with family","Over $1500","Roommate preferences, Amenities","Somewhat aware","Unlikely","Not open","Mostly meets my needs","Safety concerns","Proximity to campus filter, Price range options, Community events and networking opportunities","Not important at all"
"23-26","Undergraduate","Living with family","$500 - $1000","Safety, Proximity to campus, Amenities, Roommate preferences","Somewhat aware","Very likely","Not open","Somewhat meets my needs","Safety concerns, Inadequate amenities, Distance from campus","Community events and networking opportunities, Safety ratings","Not important at all"
"18-22","Graduate","Living with family","Over $1500","Amenities, Proximity to campus, Safety","Not aware","Likely","Neutral","Mostly meets my needs","Inadequate amenities","Community events and networking opportunities, Price range options, Roommate matching service, Safety ratings, Proximity to campus filter","Not very important"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Proximity to campus","Very aware","Unlikely","Neutral","Does not meet my needs","High cost, Distance from campus, Safety concerns","Safety ratings, Proximity to campus filter, Roommate matching service, Community events and networking opportunities","Not very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Safety, Proximity to campus","Not aware","Likely","Not open","Mostly meets my needs","Inadequate amenities, Distance from campus","Safety ratings, Proximity to campus filter, Roommate matching service, Community events and networking opportunities, Price range options","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences","Not aware","Very likely","Maybe open","Does not meet my needs","Inadequate amenities, Safety concerns","Roommate matching service, Safety ratings","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Roommate preferences","Very aware","Neutral","Maybe open","Barely meets my needs","Inadequate amenities","Community events and networking opportunities, Roommate matching service, Safety ratings, Price range options, Proximity to campus filter","Very important"
"23-26","Undergraduate","On-campus housing","Over $1500","Proximity to campus, Amenities, Safety","Neutral","Likely","Not open","Somewhat meets my needs","Safety concerns, Inadequate amenities","Safety ratings, Price range options, Community events and networking opportunities","Somewhat important"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Proximity to campus, Safety","Neutral","Unlikely","Neutral","Mostly meets my needs","Inadequate amenities","Price range options, Community events and networking opportunities","Not important at all"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Roommate preferences, Amenities, Safety, Proximity to campus","Not aware","Very likely","Neutral","Somewhat meets my needs","Safety concerns","Roommate matching service, Community events and networking opportunities, Proximity to campus filter, Price range options, Safety ratings","Not important at all"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Proximity to campus, Safety","Very aware","Neutral","Definitely open","Mostly meets my needs","Inadequate amenities","Safety ratings, Roommate matching service, Proximity to campus filter, Community events and networking opportunities, Price range options","Not important at all"
"23-26","Undergraduate","Living with family","$1001 - $1500","Safety, Proximity to campus","Somewhat aware","Likely","Neutral","Mostly meets my needs","High cost, Distance from campus, Inadequate amenities, Safety concerns","Roommate matching service, Safety ratings, Price range options","Very important"
"23-26","Graduate","Off-campus apartment/house","Less than $500","Proximity to campus, Amenities, Safety, Roommate preferences","Somewhat aware","Unlikely","Definitely open","Barely meets my needs","Safety concerns, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities, Roommate matching service, Safety ratings","Not important at all"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Amenities, Roommate preferences, Proximity to campus, Safety","Not aware","Very likely","Neutral","Somewhat meets my needs","High cost","Price range options, Community events and networking opportunities","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Proximity to campus, Amenities, Roommate preferences","Very aware","Very likely","Maybe open","Mostly meets my needs","Distance from campus, Inadequate amenities, High cost, Safety concerns","Roommate matching service, Safety ratings, Community events and networking opportunities, Proximity to campus filter, Price range options","Not important at all"
"18-22","Undergraduate","On-campus housing","Over $1500","Proximity to campus","Very aware","Unlikely","Neutral","Does not meet my needs","Distance from campus","Proximity to campus filter, Price range options","Not very important"
"18-22","Graduate","On-campus housing","Less than $500","Amenities","Somewhat aware","Very unlikely","Maybe open","Somewhat meets my needs","High cost, Distance from campus, Safety concerns, Inadequate amenities","Safety ratings, Roommate matching service, Price range options","Not important at all"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Amenities","Somewhat aware","Very unlikely","Not open","Somewhat meets my needs","Safety concerns","Community events and networking opportunities, Safety ratings, Roommate matching service, Price range options, Proximity to campus filter","Not very important"
"23-26","Graduate","Living with family","Over $1500","Proximity to campus","Somewhat aware","Very likely","Maybe open","Mostly meets my needs","Safety concerns, Inadequate amenities, Distance from campus","Proximity to campus filter","Not very important"
"18-22","Graduate","Living with family","$1001 - $1500","Amenities","Very aware","Likely","Neutral","Barely meets my needs","Safety concerns, Distance from campus, High cost","Safety ratings, Proximity to campus filter, Community events and networking opportunities, Roommate matching service","Not very important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Safety, Amenities, Proximity to campus","Neutral","Unlikely","Neutral","Does not meet my needs","Safety concerns, High cost, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities","Very important"
"18-22","Graduate","On-campus housing","Less than $500","Roommate preferences, Safety","Neutral","Very likely","Not open","Barely meets my needs","Inadequate amenities, High cost, Distance from campus","Price range options","Somewhat important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences, Safety, Amenities, Proximity to campus","Not aware","Very likely","Neutral","Does not meet my needs","Safety concerns, Inadequate amenities, High cost, Distance from campus","Price range options, Proximity to campus filter, Community events and networking opportunities","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities, Safety, Roommate preferences, Proximity to campus","Somewhat aware","Likely","Maybe open","Mostly meets my needs","High cost, Inadequate amenities, Safety concerns, Distance from campus","Safety ratings, Roommate matching service, Price range options, Proximity to campus filter, Community events and networking opportunities","Very important"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Amenities, Proximity to campus, Roommate preferences","Very aware","Unlikely","Neutral","Mostly meets my needs","Inadequate amenities","Roommate matching service, Safety ratings","Very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Safety","Not aware","Neutral","Not open","Mostly meets my needs","Safety concerns, Inadequate amenities, Distance from campus","Proximity to campus filter","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Proximity to campus, Amenities","Somewhat aware","Very likely","Maybe open","Does not meet my needs","Safety concerns, Distance from campus, Inadequate amenities","Safety ratings, Proximity to campus filter, Community events and networking opportunities, Roommate matching service","Not very important"
"23-26","Graduate","On-campus housing","$1001 - $1500","Proximity to campus, Safety, Amenities, Roommate preferences","Neutral","Likely","Definitely open","Barely meets my needs","High cost, Safety concerns","Safety ratings","Not important at all"
"23-26","Undergraduate","Living with family","$500 - $1000","Roommate preferences, Amenities, Proximity to campus","Very aware","Likely","Not open","Barely meets my needs","Safety concerns","Proximity to campus filter, Safety ratings","Somewhat important"
"23-26","Undergraduate","On-campus housing","Over $1500","Proximity to campus, Safety, Amenities","Not aware","Likely","Maybe open","Mostly meets my needs","Safety concerns","Safety ratings, Price range options, Community events and networking opportunities","Not very important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Amenities, Safety","Not aware","Very likely","Neutral","Does not meet my needs","Safety concerns, Inadequate amenities","Roommate matching service, Community events and networking opportunities, Safety ratings, Price range options, Proximity to campus filter","Not important at all"
"18-22","Undergraduate","Living with family","Over $1500","Amenities, Roommate preferences","Very aware","Very unlikely","Maybe open","Somewhat meets my needs","High cost, Safety concerns, Inadequate amenities, Distance from campus","Community events and networking opportunities, Proximity to campus filter, Safety ratings, Price range options, Roommate matching service","Not important at all"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Roommate preferences, Proximity to campus, Amenities","Somewhat aware","Very unlikely","Neutral","Somewhat meets my needs","Distance from campus","Safety ratings","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Amenities, Roommate preferences, Proximity to campus","Somewhat aware","Likely","Neutral","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns","Price range options, Safety ratings, Roommate matching service, Community events and networking opportunities, Proximity to campus filter","Somewhat important"
"23-26","Undergraduate","Living with family","$1001 - $1500","Amenities, Roommate preferences, Proximity to campus","Very aware","Unlikely","Definitely open","Mostly meets my needs","Distance from campus, Inadequate amenities, Safety concerns","Proximity to campus filter, Roommate matching service, Price range options","Very important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Roommate preferences, Amenities, Proximity to campus, Safety","Neutral","Very unlikely","Definitely open","Barely meets my needs","Safety concerns, High cost, Inadequate amenities","Community events and networking opportunities, Price range options, Roommate matching service, Proximity to campus filter","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Amenities","Neutral","Very likely","Neutral","Does not meet my needs","Inadequate amenities, Safety concerns, Distance from campus, High cost","Proximity to campus filter, Price range options, Safety ratings","Not very important"
"23-26","Graduate","Off-campus apartment/house","Less than $500","Amenities","Neutral","Unlikely","Not open","Does not meet my needs","High cost, Inadequate amenities, Distance from campus, Safety concerns","Proximity to campus filter, Price range options, Community events and networking opportunities","Not important at all"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Proximity to campus, Amenities, Roommate preferences","Neutral","Unlikely","Maybe open","Somewhat meets my needs","Distance from campus, Safety concerns, Inadequate amenities, High cost","Proximity to campus filter, Roommate matching service, Safety ratings","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Amenities","Neutral","Likely","Neutral","Somewhat meets my needs","Inadequate amenities, Safety concerns, High cost, Distance from campus","Proximity to campus filter","Very important"
"18-22","Undergraduate","Living with family","Less than $500","Safety, Amenities, Proximity to campus","Very aware","Very unlikely","Definitely open","Barely meets my needs","Distance from campus, High cost","Proximity to campus filter, Price range options, Roommate matching service, Safety ratings","Very important"
"18-22","Undergraduate","On-campus housing","Over $1500","Safety, Roommate preferences","Not aware","Unlikely","Neutral","Barely meets my needs","Safety concerns, High cost, Distance from campus, Inadequate amenities","Roommate matching service, Proximity to campus filter, Community events and networking opportunities, Safety ratings, Price range options","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences, Proximity to campus, Amenities","Not aware","Likely","Maybe open","Does not meet my needs","Safety concerns","Proximity to campus filter, Community events and networking opportunities, Safety ratings","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Roommate preferences, Amenities","Somewhat aware","Neutral","Not open","Barely meets my needs","Distance from campus, Safety concerns","Proximity to campus filter, Price range options, Community events and networking opportunities, Roommate matching service","Very important"
"23-26","Undergraduate","Living with family","$500 - $1000","Roommate preferences","Somewhat aware","Very likely","Neutral","Does not meet my needs","High cost, Distance from campus, Safety concerns, Inadequate amenities","Community events and networking opportunities, Proximity to campus filter, Roommate matching service, Safety ratings, Price range options","Not important at all"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Safety, Proximity to campus, Roommate preferences","Neutral","Unlikely","Not open","Mostly meets my needs","Distance from campus","Community events and networking opportunities","Not very important"
"23-26","Undergraduate","Living with family","$500 - $1000","Proximity to campus","Neutral","Neutral","Not open","Does not meet my needs","High cost, Safety concerns, Distance from campus, Inadequate amenities","Roommate matching service, Community events and networking opportunities, Proximity to campus filter, Safety ratings","Not important at all"
"23-26","Undergraduate","Living with family","Less than $500","Roommate preferences, Safety, Proximity to campus, Amenities","Somewhat aware","Neutral","Neutral","Mostly meets my needs","Inadequate amenities, Safety concerns, High cost, Distance from campus","Roommate matching service, Community events and networking opportunities, Safety ratings","Somewhat important"
"23-26","Graduate","On-campus housing","Over $1500","Safety, Amenities","Somewhat aware","Neutral","Maybe open","Somewhat meets my needs","Inadequate amenities, Safety concerns, Distance from campus","Roommate matching service, Community events and networking opportunities, Price range options","Not important at all"
"18-22","Undergraduate","Living with family","$500 - $1000","Amenities, Safety, Roommate preferences, Proximity to campus","Very aware","Neutral","Neutral","Barely meets my needs","Inadequate amenities","Proximity to campus filter, Price range options, Community events and networking opportunities, Roommate matching service","Not important at all"
"18-22","Graduate","Living with family","Less than $500","Proximity to campus, Amenities, Roommate preferences, Safety","Somewhat aware","Very likely","Maybe open","Mostly meets my needs","Inadequate amenities, Distance from campus","Community events and networking opportunities, Safety ratings, Roommate matching service, Proximity to campus filter, Price range options","Very important"
"23-26","Undergraduate","Living with family","Less than $500","Safety","Neutral","Very unlikely","Neutral","Barely meets my needs","Distance from campus, Safety concerns, High cost, Inadequate amenities","Roommate matching service, Community events and networking opportunities","Not important at all"
"18-22","Graduate","Off-campus apartment/house","Over $1500","Amenities, Proximity to campus, Roommate preferences","Very aware","Very likely","Neutral","Mostly meets my needs","High cost, Distance from campus, Safety concerns, Inadequate amenities","Proximity to campus filter","Not very important"
"18-22","Graduate","Off-campus apartment/house","Less than $500","Roommate preferences, Amenities, Proximity to campus, Safety","Not aware","Very likely","Definitely open","Somewhat meets my needs","High cost, Inadequate amenities","Roommate matching service, Safety ratings","Somewhat important"
"23-26","Graduate","Off-campus apartment/house","Over $1500","Roommate preferences, Amenities, Proximity to campus, Safety","Somewhat aware","Likely","Neutral","Mostly meets my needs","Safety concerns, High cost","Proximity to campus filter, Safety ratings, Price range options","Very important"
"23-26","Graduate","Living with family","$500 - $1000","Proximity to campus, Amenities, Safety","Very aware","Likely","Maybe open","Mostly meets my needs","Safety concerns, Distance from campus, High cost","Price range options, Safety ratings, Proximity to campus filter, Roommate matching service","Not important at all"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Safety, Roommate preferences, Amenities","Not aware","Very unlikely","Maybe open","Mostly meets my needs","Inadequate amenities, Distance from campus, Safety concerns","Community events and networking opportunities, Roommate matching service, Proximity to campus filter, Safety ratings, Price range options","Not very important"
